TradeDate,Node,HE,DA_LMP,DA_MCC,DA_MLC,Region,Planned,Actual,Outage
12/29/2017,ALTE.ALTE,1,28.8,-0.11,-0.07,North,18636,18492,4360
12/29/2017,ALTE.ALTE,2,27.24,-0.47,0.18,North,18064,17940,4360
12/29/2017,ALTE.ALTE,3,27.52,-0.57,0.2,North,17667,17568,4360
12/29/2017,ALTE.ALTE,4,27.83,-0.73,0.2,North,17472,17421,4360
12/29/2017,ALTE.ALTE,5,28.53,-0.74,0.21,North,17464,17315,4360
12/29/2017,ALTE.ALTE,6,31.62,0.34,-0.44,North,17745,17608,4360
12/29/2017,ALTE.ALTE,7,38.13,1.48,-0.52,North,18543,18169,4360
12/29/2017,ALTE.ALTE,8,52.05,2.61,-0.2,North,19717,19147,4360
12/29/2017,ALTE.ALTE,9,51.64,3.89,-1.49,North,20582,19936,4360
12/29/2017,ALTE.ALTE,10,50.91,3.5,0.47,North,20851,20239,4360
12/29/2017,ALTE.ALTE,11,46.24,2.73,0.42,North,21000,20492,4360
12/29/2017,ALTE.ALTE,12,46.92,3.44,-0.19,North,20922,20670,4360
12/29/2017,ALTE.ALTE,13,40.76,2.45,0.29,North,20738,20557,4360
12/29/2017,ALTE.ALTE,14,36.85,1.65,0.38,North,20532,20463,4360
12/29/2017,ALTE.ALTE,15,34.74,1.73,0.36,North,20391,20427,4360
12/29/2017,ALTE.ALTE,16,32.17,1.26,0.32,North,20246,20214,4360
12/29/2017,ALTE.ALTE,17,33.61,1.22,0.33,North,20217,20161,4360
12/29/2017,ALTE.ALTE,18,47.43,2.92,0.36,North,20657,20537,4360
12/29/2017,ALTE.ALTE,19,54.75,3.27,0.26,North,21421,21272,4290
12/29/2017,ALTE.ALTE,20,43.44,1.18,0.23,North,21159,21087,4290
12/29/2017,ALTE.ALTE,21,37.3,0.43,0.32,North,20751,20878,4290
12/29/2017,ALTE.ALTE,22,33.24,0.16,0.28,North,20359,20566,4290
12/29/2017,ALTE.ALTE,23,31.35,-0.06,-0.16,North,19936,20016,4290
12/29/2017,ALTE.ALTE,24,27.63,-0.01,0.68,North,19258,19382,4390
