TradeDate,Node,HE,DA_LMP,DA_MCC,DA_MLC,LMP_DELTA,Region,Planned,Actual,Outage
7/15/2014,ALTE.ALTE,1,20.96,-1.41,1.03,-2.55,North,13678,13588,2370
7/15/2014,ALTE.ALTE,2,19.12,-2.2,0.7,-14.34,North,13063,13042,2370
7/15/2014,ALTE.ALTE,3,18.61,-1.55,0.85,2.26,North,12713,12749,2370
7/15/2014,ALTE.ALTE,4,17.61,-1.78,0.8,-3.73,North,12571,12620,2370
7/15/2014,ALTE.ALTE,5,19.24,-1.33,0.25,-1.48,North,12763,12800,2370
7/15/2014,ALTE.ALTE,6,21.6,-0.81,0.42,-0.65,North,13484,13546,2370
7/15/2014,ALTE.ALTE,7,24.89,-0.5,0.62,13.23,North,14573,14607,2260
7/15/2014,ALTE.ALTE,8,27.35,0.09,-0.04,1.77,North,15630,15735,2260
7/15/2014,ALTE.ALTE,9,30.43,1.12,0.78,5.15,North,16303,16442,2260
7/15/2014,ALTE.ALTE,10,34.27,1.26,0.96,-2.14,North,16768,16818,2260
7/15/2014,ALTE.ALTE,11,34.9,1.44,0.65,-4.46,North,17175,17181,2260
7/15/2014,ALTE.ALTE,12,36.16,1,1.43,-3.27,North,17362,17447,2260
7/15/2014,ALTE.ALTE,13,36.26,0.84,1.44,-2.35,North,17491,17520,2260
7/15/2014,ALTE.ALTE,14,36.67,1.27,0.57,-4.35,North,17662,17574,2260
7/15/2014,ALTE.ALTE,15,35.4,0.44,0.75,-3.88,North,17706,17572,2260
7/15/2014,ALTE.ALTE,16,36.88,1.62,0.75,-7.03,North,17757,17503,2240
7/15/2014,ALTE.ALTE,17,36.55,1.44,0.76,-4.27,North,17801,17425,2240
7/15/2014,ALTE.ALTE,18,34.15,1.37,-0.83,-2.97,North,17722,17333,2240
7/15/2014,ALTE.ALTE,19,34.5,0.91,0.79,-4.37,North,17493,17168,2200
7/15/2014,ALTE.ALTE,20,32.27,0.04,1.1,-2.01,North,17212,16921,2200
7/15/2014,ALTE.ALTE,21,32.63,0.15,1.1,-1.75,North,16894,16753,2200
7/15/2014,ALTE.ALTE,22,29.19,0.3,0.63,-0.06,North,16798,16797,2200
7/15/2014,ALTE.ALTE,23,25.49,0.44,0.61,-0.01,North,15887,15891,2200
7/15/2014,ALTE.ALTE,24,23.09,0.18,0.33,2.76,North,14664,14701,2200
