TradeDate,Node,HE,DA_LMP,DA_MCC,DA_MLC,RT_LMP,Region,Planned,Actual,Outage
1/1/2014,ALTE.ALTE,1,28.58,-3.04,-0.18,23.52,North,17885,17940,2240
1/1/2014,ALTE.ALTE,2,27.19,-2.41,-0.5,24.23,North,17377,17338,2240
1/1/2014,ALTE.ALTE,3,26.49,-1.77,-0.46,23.44,North,16966,16919,2240
1/1/2014,ALTE.ALTE,4,26.31,-1.72,-0.47,22.77,North,16731,16643,2240
1/1/2014,ALTE.ALTE,5,25.79,-2.1,-0.46,22.42,North,16602,16503,2240
1/1/2014,ALTE.ALTE,6,26.11,-2.23,-0.14,21.98,North,16586,16523,2240
1/1/2014,ALTE.ALTE,7,28.4,-1.9,-0.34,23.94,North,16777,16746,2240
1/1/2014,ALTE.ALTE,8,29.75,-2.63,-0.02,23.48,North,17557,17101,2240
1/1/2014,ALTE.ALTE,9,30.48,-3.61,-0.15,22.8,North,18184,17343,2240
1/1/2014,ALTE.ALTE,10,31.71,-4.1,-0.17,24.1,North,18382,17569,2240
1/1/2014,ALTE.ALTE,11,33.74,-3.29,-0.09,26.03,North,18568,18128,2240
1/1/2014,ALTE.ALTE,12,34.25,-3.19,1.08,26.07,North,18678,18430,2240
1/1/2014,ALTE.ALTE,13,33.27,-2.74,1.03,24.58,North,18721,18564,2240
1/1/2014,ALTE.ALTE,14,32.56,-2.2,0.9,24.7,North,18644,18502,2240
1/1/2014,ALTE.ALTE,15,31.79,-1.37,1.07,24.33,North,18558,18297,2240
1/1/2014,ALTE.ALTE,16,30.15,-1.28,0.44,23.6,North,18449,18118,2240
1/1/2014,ALTE.ALTE,17,31.69,-0.61,0.95,23.8,North,18478,18182,2240
1/1/2014,ALTE.ALTE,18,42.24,0.3,1.56,24.71,North,19080,18888,2240
1/1/2014,ALTE.ALTE,19,57.02,6.65,1.51,20.27,North,20272,20264,2240
1/1/2014,ALTE.ALTE,20,53.46,7.42,1.4,31.1,North,20349,20244,2240
1/1/2014,ALTE.ALTE,21,49.45,4.23,1.04,27.79,North,20118,19924,2240
1/1/2014,ALTE.ALTE,22,44.49,1.93,1.81,26.93,North,19715,19530,2240
1/1/2014,ALTE.ALTE,23,33.2,-2.01,0.37,26.39,North,19191,18953,2750
1/1/2014,ALTE.ALTE,24,31.71,-2.25,1.03,25.68,North,18315,18043,2480
1/2/2014,ALTE.ALTE,1,28.96,-1.86,0.67,23.54,North,17679,17544,2480
1/2/2014,ALTE.ALTE,2,28.29,-1.88,0.63,23.48,North,17144,17087,2480
1/2/2014,ALTE.ALTE,3,27.72,-0.98,0.6,22.95,North,16786,16856,2480
1/2/2014,ALTE.ALTE,4,27.75,-1.08,0.61,23.42,North,16656,16766,2480
1/2/2014,ALTE.ALTE,5,28.56,-0.97,0.64,24.04,North,16682,16849,2480
1/2/2014,ALTE.ALTE,6,29.48,-1.57,0.74,25.01,North,16950,17217,2480
1/2/2014,ALTE.ALTE,7,37.13,-0.39,0.32,26.54,North,17703,18129,2480
1/2/2014,ALTE.ALTE,8,43.25,-0.64,0.62,23.29,North,18978,19567,2480
1/2/2014,ALTE.ALTE,9,48.42,-0.35,1.19,31.2,North,19772,20549,2480
1/2/2014,ALTE.ALTE,10,48.65,0.16,1.18,27.11,North,19879,20508,2480
1/2/2014,ALTE.ALTE,11,47.72,0.04,0.03,36.13,North,19923,20461,2480
1/2/2014,ALTE.ALTE,12,47.5,0.93,0.09,42.34,North,19916,20314,2480
1/2/2014,ALTE.ALTE,13,47.87,5.02,0.01,36.62,North,19725,20265,2480
1/2/2014,ALTE.ALTE,14,41.88,0.94,0,33.53,North,19520,20005,2480
1/2/2014,ALTE.ALTE,15,38.9,0.76,0.01,31.63,North,19345,19959,2480
1/2/2014,ALTE.ALTE,16,39.88,0.25,1.74,31,North,19144,19906,2480
1/2/2014,ALTE.ALTE,17,37.64,-0.25,0.01,30.05,North,19006,19804,2480
1/2/2014,ALTE.ALTE,18,49.43,1.01,0.39,33.79,North,19532,20119,2480
1/2/2014,ALTE.ALTE,19,65.88,1.91,0.98,119.44,North,20674,21501,2480
1/2/2014,ALTE.ALTE,20,60.51,1.77,0.19,87.38,North,20771,21510,2480
1/2/2014,ALTE.ALTE,21,54.01,1.31,-0.03,41.38,North,20633,21247,2480
1/2/2014,ALTE.ALTE,22,49.17,0.34,0.46,38.89,North,20292,20978,2480
1/2/2014,ALTE.ALTE,23,44.2,-0.18,1.26,37.87,North,19742,20552,2480
1/2/2014,ALTE.ALTE,24,39.11,-0.52,0.65,34.83,North,18874,19563,2480
1/3/2014,ALTE.ALTE,1,33.83,-0.72,0.11,38.81,North,18512,18890,2480
1/3/2014,ALTE.ALTE,2,31.7,-1.45,0.46,30.34,North,17967,18306,2480
1/3/2014,ALTE.ALTE,3,29.61,-2.36,0.24,32,North,17594,17870,2480
1/3/2014,ALTE.ALTE,4,28.48,-3.25,0.43,32.25,North,17442,17645,2480
1/3/2014,ALTE.ALTE,5,29.45,-3.24,0.45,33.47,North,17446,17639,2480
1/3/2014,ALTE.ALTE,6,30.99,-3.66,-0.05,33.32,North,17744,17766,2480
1/3/2014,ALTE.ALTE,7,41.15,-0.63,-0.11,38.66,North,18638,18545,2480
1/3/2014,ALTE.ALTE,8,52.28,3.14,0.07,58.08,North,20225,19898,2480
1/3/2014,ALTE.ALTE,9,57.28,4.11,1.33,63.51,North,21114,20858,2480
1/3/2014,ALTE.ALTE,10,52.83,3.89,1.21,59.24,North,20891,20780,2480
1/3/2014,ALTE.ALTE,11,45.42,1.67,0.78,47.67,North,20675,20835,2480
1/3/2014,ALTE.ALTE,12,46.66,5.52,0.72,45.05,North,20527,20773,2480
1/3/2014,ALTE.ALTE,13,42.24,3.83,0.81,38.66,North,20281,20525,2480
1/3/2014,ALTE.ALTE,14,36.29,-0.09,0.75,37.4,North,20130,20281,2480
1/3/2014,ALTE.ALTE,15,31.39,-1.1,-0.1,32.47,North,19954,20080,2480
1/3/2014,ALTE.ALTE,16,30.92,-0.68,0.19,31.98,North,19738,19833,2480
1/3/2014,ALTE.ALTE,17,28.34,-3.27,0.19,33.16,North,19582,19696,2480
1/3/2014,ALTE.ALTE,18,31.9,-5.9,0.7,62.94,North,19771,19968,2480
1/3/2014,ALTE.ALTE,19,41.51,-2.74,0.75,80.05,North,20413,20855,2480
1/3/2014,ALTE.ALTE,20,37.96,-3.36,0.73,56.2,North,20323,20589,2490
1/3/2014,ALTE.ALTE,21,39.62,0.8,-0.2,59.75,North,19898,20103,2490
1/3/2014,ALTE.ALTE,22,33.78,-3.8,1.22,32.08,North,19429,19562,2490
1/3/2014,ALTE.ALTE,23,26.64,-7.28,0.51,37.62,North,18813,18864,2490
1/3/2014,ALTE.ALTE,24,24.58,-7.2,0.96,24.21,North,17873,17952,2490
1/4/2014,ALTE.ALTE,1,25.5,-5.53,0.98,26.76,North,17009,17160,2490
1/4/2014,ALTE.ALTE,2,23.98,-7.09,0.91,19.75,North,16432,16450,2490
